MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,6.850673893,7.64344964,8.434681544,9.217318826,9.985215305,10.73307661,11.45652326
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.865640237,8.672359835,9.469751016,10.25231814,11.01461121,11.75180229,12.46000872
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,9.330236617,10.1445825,10.9277049,11.67665319,12.38957276,13.06547229,13.70406789
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.468551298,8.332395103,9.175579818,9.994595639,10.7860599,11.54690087,12.27460011
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,6.846327134,7.639561873,8.43110216,9.213958877,9.982021988,10.73001861,11.45358211
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.849449871,8.657691038,9.456528725,10.24042453,11.00391377,11.74216917,12.45131646
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,9.313432707,10.12872763,10.91279181,11.66264927,12.3764319,13.0531425,13.6924958
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.45683679,8.32155609,9.165653447,9.985554534,10.77784492,11.53944013,12.26781934
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,6.849225792,7.64185102,8.433069468,9.215758634,9.983731812,10.73167379,11.45519568
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.864985996,8.671635976,9.469074585,10.25175221,11.0141838,11.75151985,12.45986516
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,9.341819562,10.15533641,10.93769572,11.68594841,12.39823504,13.07355787,13.71162682
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.481521789,8.344198012,9.186298774,10.00432799,10.79490433,11.55495129,12.28194276
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,6.850641036,7.643422095,8.434659288,9.21730133,9.985201877,10.73306656,11.45651596
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.865618899,8.672345483,9.469742371,10.2523142,11.01461117,11.75180546,12.4600145
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,9.330155951,10.14450204,10.92762607,11.67657689,12.38949954,13.06540245,13.70400154
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.468596676,8.332432083,9.175609552,9.994619084,10.78607789,11.54691418,12.2746094
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,6.846391349,7.639625795,8.431163777,9.214016962,9.982075913,10.73006816,11.45362733
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.849602072,8.657838561,9.45667254,10.240565,11.0040509,11.74230279,12.45144633
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,9.313030389,10.12834631,10.91243097,11.66230819,12.37610978,13.05283843,13.69220884
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.456577543,8.321321226,9.165439447,9.985358472,10.77766438,11.53927312,12.26766423
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,6.849069384,7.641711629,8.432947729,9.21565375,9.983642305,10.73159793,11.45513171
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.865005032,8.671652531,9.469090967,10.25176937,11.01420202,11.75153905,12.45988515
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,9.341880068,10.15539497,10.93775339,11.68600574,12.39829226,13.07361498,13.71168371
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,7.481523101,8.344211868,9.186321493,10.00435706,10.79493796,11.55498815,12.28198185
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.25681477,16.00043402,16.66840363,17.27105474,17.81657084,18.31160966,18.76172435
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.15216735,15.88465269,16.5486497,17.1511208,17.69846532,18.19639866,18.649972
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.65280712,15.61593186,16.46098758,17.2044014,17.86034201,18.44086987,18.95620879
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.09832496,15.86689087,16.55447345,17.17278617,17.73098504,18.23642499,18.69516767
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.14230886,15.8787923,16.54545334,17.1497196,17.69828264,18.19704508,18.65118043
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.67096553,15.63365391,16.47774841,17.21997334,17.87466404,18.45397061,18.96816178
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.80276318,16.48439296,17.09926439,17.65632929,18.16257572,18.62365114,19.04426583
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.7938468,15.56693003,16.26519477,16.89686598,17.46928622,17.98889908,18.46132964
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.65619153,15.61835852,16.46248947,17.20508582,17.86034021,18.44031202,18.95521269
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.25915853,16.00248098,16.67020504,17.27265047,17.81799255,18.31288288,18.76286996
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.15192822,15.88439336,16.54838484,17.15085936,17.69821259,18.19615758,18.649744
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.65265608,15.61580596,16.46088113,17.20431019,17.86026292,18.44080055,18.95614747
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.09489764,15.86385288,16.55176603,17.17036037,17.72880035,18.23444791,18.69337041
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.14331199,15.87961348,16.5461442,17.15031467,17.69880544,18.1975119,18.65160274
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.66811191,15.63109626,16.4754519,17.21790586,17.87279706,18.4522792,18.96662439
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,15.80501714,16.4864816,17.10118806,17.65809608,18.16419708,18.62513957,19.04563375
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.79379673,15.56685413,16.26510276,16.89676404,17.46917844,17.98878825,18.46121769
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",,,14.65172797,15.61441615,16.4589973,17.20198089,17.85756819,18.43782668,18.95297495
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,20.9129336,21.08035871,21.21166169,21.31640154,21.4012047,21.47077329,21.52851336
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,20.94948215,21.11160567,21.23862097,21.33985937,21.42177539,21.48894116,21.54466384
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,20.80751206,20.98178384,21.12068693,21.23301646,21.32502108,21.40123726,21.46501958
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,20.68207912,20.87793418,21.03329769,21.15844776,21.26062687,21.34505244,21.41555591
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,3.667496543,4.352654407,5.053050518,5.751946653,6.436629166,7.098245535,7.731255376
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,3.42887349,4.082390961,4.75832711,5.439756688,6.113333643,6.769384765,7.401515044
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,3.295729915,3.954904324,4.640374075,5.333577706,6.019873699,6.688662865,7.332947407
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,3.402283178,4.067468999,4.755250884,5.447861781,6.131454502,6.796118604,7.435404872
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,3.320344694,3.966917617,4.638795587,5.31864152,5.992653536,6.650736449,7.286137512
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,3.223127068,3.876903544,4.559254735,5.25129363,5.937990691,6.608378626,7.255146544
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.190671164,8.014683097,8.833884692,9.639834227,10.42576933,11.18631117,11.91734634
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.997873984,8.766426938,9.522231561,10.26312389,10.9860053,11.68747135,12.36433232
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,9.404270796,10.19361002,10.96260565,11.70553218,12.41782233,13.0962628,13.73892973
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.524373334,8.351258138,9.163498589,9.956019468,10.72454009,11.46548241,12.17601725
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,9.36251367,10.14192386,10.89876325,11.62885562,12.32873737,12.99590716,13.62884238
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.893429159,8.674696053,9.444233863,10.19877242,10.93450712,11.64764038,12.33481173
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,9.410390523,10.17432809,10.92023021,11.64269564,12.33733828,13.00097272,13.63157598
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.093098915,7.879138391,8.665987179,9.445701352,10.21136977,10.95710046,11.67809331
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.209591293,7.945406597,8.686938659,9.428147787,10.16238081,10.88321458,11.58500688
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.183170907,8.007819994,8.827569479,9.633847906,10.41985793,11.18024512,11.91094912
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.978853379,8.746981112,9.502278421,10.24260792,10.96491532,11.66584171,12.34223491
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,9.419496121,10.19960142,10.95905051,11.69274366,12.39652886,13.06743498,13.70364972
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.498885833,8.326164724,9.137458764,9.928123148,10.69428376,11.43269501,12.14077135
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,9.35386275,10.13323427,10.88960262,11.61900937,12.31814163,12.98459668,13.61691214
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.878185386,8.658105646,9.426484095,10.18001974,10.91490601,11.62735096,12.31399734
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,9.365159529,10.13097443,10.87913187,11.60405354,12.30121539,12.96733443,13.60032482
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.083000831,7.867126653,8.653586187,9.433981947,10.20102078,10.94851081,11.67143071
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,7.191643408,7.943349419,8.7010956,9.457848963,10.2062726,10.93954948,11.65187486
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.41451918,11.2044057,11.97920036,12.73231485,13.45731791,14.14906172,14.80403622
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.51041916,11.3174725,12.11396093,12.88943108,13.63507481,14.34448001,15.01363042
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.60821281,11.41812607,12.21078988,12.97828986,13.71373894,14.41207906,15.07018793
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.42742571,11.18483854,11.93976755,12.6822279,13.40301027,14.09481518,14.75253849
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.51820054,11.36499089,12.19004967,12.98514207,13.74343536,14.46019545,15.13277694
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.47243809,11.29342112,12.10205103,12.88787693,13.64216099,14.35862019,15.03340484
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.60663689,11.40841329,12.19401525,12.95557183,13.6861774,14.38070354,15.03592442
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,10.53491814,11.29410125,12.05226175,12.79797867,13.52127999,14.2145461,14.8726175
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,15.478668,16.19115878,16.83429681,17.41627127,17.94404217,18.4235238,18.85978804
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,16.08242874,16.71710415,17.29139321,17.81322162,18.28888662,18.72346939,19.12116928
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,15.69486535,16.39536923,17.02329063,17.58892227,18.10044757,18.56446651,18.98640371
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,15.78621261,16.4878089,17.1157118,17.6804981,18.19053792,18.65257342,19.07214774
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,17.18253398,18.14586736,18.94932429,19.62178327,20.18740313,20.66587927,21.07307448
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,15.56155347,16.24518479,16.86265311,17.42200499,17.93013412,18.392858,18.81509015
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,16.01473109,16.67704416,17.27686631,17.82159544,18.31723476,18.76879136,19.1805612
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,15.94241279,16.61091022,17.21188425,17.75466797,18.24670974,18.69403546,19.10161267
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,15.80391609,16.51146988,17.14617894,17.71769956,18.23386815,18.70115613,19.12500788
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",,,17.09765089,18.07109065,18.8831787,19.56301565,20.13495683,20.6188666,21.03075046
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,21.01429249,21.37332973,21.65925918,21.89022138,22.07918092,22.23556473,22.36633902
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,20.5849588,20.99738473,21.32884062,21.59854438,21.82049825,22.00505435,22.15997129
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,21.01665348,21.37542644,21.66111851,21.89187288,22.08065242,22.23688089,22.36752107
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,20.58824581,21.00011879,21.33115155,21.6005239,21.82221313,22.00655443,22.16129458
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.204854659,4.034710437,4.879201091,5.711330737,6.512816823,7.272673818,7.985453645
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.419250084,4.099847056,4.800492074,5.503289157,6.194515231,6.864509523,7.507117046
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.491325686,4.183293087,4.892296573,5.600715983,6.295249663,6.966697982,7.609344695
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.570216502,4.267398974,4.978937635,5.687774216,6.381129981,7.050242615,7.68973909
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.334725812,4.025090435,4.733811541,5.443289752,6.140067856,6.814695768,7.461176914
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.443289673,4.093257283,4.766582356,5.446277108,6.118815729,6.774311768,7.406171481
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.366271744,4.028487687,4.710579919,5.395992201,6.071897948,6.729103129,7.361585341
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.201722082,4.031271,4.875560824,5.707585031,6.509045389,7.268940264,7.981807242
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.419058724,4.099661228,4.800310637,5.503111561,6.194341336,6.86433943,7.506950975
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.491511951,4.183452812,4.892429758,5.600824175,6.295335244,6.96676368,7.609393269
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.570123221,4.267277622,4.978791938,5.687609015,6.380950206,7.050052753,7.689542959
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.334176445,4.024557748,4.733301481,5.442805586,6.139611024,6.814266487,7.460774606
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.442782163,4.09270316,4.765994086,5.445665395,6.118189865,6.773679711,7.40553989
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,3.366202361,4.028428694,4.710536807,5.395966917,6.071890377,6.729112024,7.361608909
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.581049186,8.3885587,9.18026905,9.953312856,10.70450366,11.43068773,12.12907619
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.256020867,10.05189682,10.82287046,11.56488669,12.27469818,12.95006421,13.58972817
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.720221221,8.5122394,9.288753536,10.04746362,10.78549533,11.49983065,12.18770144
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.377206294,10.15081788,10.90089798,11.62422105,12.31781546,12.97941292,13.60757598
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.561111244,8.398824119,9.210825434,9.996741801,10.75546945,11.48546188,12.18511771
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.361618757,10.14564383,10.90299594,11.63119156,12.32788222,12.99129629,13.62037665
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,6.517289691,7.328316152,8.133087947,8.925729233,9.701180985,10.45503075,11.18355418
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,6.607155891,7.398097652,8.184371956,8.959764724,9.719239638,10.45851757,11.17399475
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.359989076,8.186376774,8.997089364,9.789083292,10.55885271,11.3028926,12.01811166
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.705435026,8.521731145,9.326244141,10.11353579,10.87858049,11.61707352,12.32562017
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.01430149,9.839281767,10.63243158,11.39062364,12.11199129,12.795624,13.44135501
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.987756553,8.735949486,9.47531871,10.2032243,10.91601686,11.60978921,12.28092783
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.530115014,10.30590543,11.05448162,11.77301203,12.45944849,13.11245819,13.73136404
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.633827472,10.42059268,11.17450225,11.89454269,12.5800274,13.23056964,13.84611822
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,6.757740852,7.519187294,8.282450267,9.040549595,9.787398463,10.51766899,11.22683803
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.580451316,8.387918716,9.1795984,9.952621855,10.70380126,11.42998151,12.12837238
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.25589806,10.05182096,10.82283556,11.56488739,12.27472953,12.95012163,13.58980745
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,7.721373253,8.513294914,9.289726538,10.04836682,10.78633937,11.50062406,12.18845089
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",,,9.376920188,10.15045824,10.90049392,11.62379374,12.31737986,12.97897937,13.60715142
