doi,compound name,formula,group,organic,inorganic,iupac,dimensionality,sample type,code,level of theory,Exchange-correlation functional,k-point grid,level of relativity,basis set definition,numerical accuracy,synthesis starting materials,synthesis product,synthesis description,experimental method,experimental description
10.1021/jacs.0c01625,4-(aminomethyl)piperindinium formamidinium lead bromide,(C6N2H16)[HC(NH2)2]Pb2Br7,"(4AMP)(FA)Pb2Br7, 4-(methanaminium)piperindinium diaminomethanide septabromo diplumbate(II)","C6N2H16, CH5N","Pb2Br7, Lead bromide",4-(methanaminium)piperindinium diaminomethanide lead bromide,2,bulk polycrystalline,,,,,,,,,,,Photoluminescence microscopy,"Data was collected with a HORIBA LabRAM HR Evolution Confocal RAMAN microscope. A laster (473 nm, 25 mW, 0.1% power) was used to excite samples."
10.1021/jacs.0c01625,4-(aminomethyl)piperindinium methylammonium lead bromide,(C6N2H16)(CH3NH3)Pb2Br7,"(4AMP)(MA)Pb2Br7, 4-(methanaminium)piperindinium methanaminium septabromo diplumbate(II)","C6N2H16, CH6N","Pb2Br7, Lead bromide",4-(methanaminium)piperindinium methanaminium lead bromide,2,single crystal,,,,,,,,"PbBr2 (98%), hydrobromic acid (HBr, 48%), methylammonium chloride (≥98%), 4-(aminomethyl)piperidine (96%)",yellow plate-like crystals,"First, PbBr2 (1.10 g, 3 mmol) was dissolved in 5 mL of HBr in one vial. Next, methylammonium chloride (202 mg) was added to the solution. In a separate vial, HBr (1 mL) was added to 57 mg of 4-(aminomethyl)piperidine. The solution was heated and stirred, and this solution was poured into the PbBr2 solution. The reaction continued for 5- 10 minutes, and the total solution became clear. Plate-like yellow crystals precipitated as the solution cooled to ambient temperature.",Single Crystal X-ray Diffraction,"A STOE IPDS 2 or IPDS 2T diffractometer with Mo Kα radiation (λ = 0.71073 A, 50 kV, 40 mA) was used. The data was collected in N2 at 293 K. Frames were collected, integrated, and corrected for absorption with the STOE X-AREA program."
10.1021/jacs.0c01625,4-(aminomethyl)piperindinium methylammonium lead bromide,(C6N2H16)(CH3NH3)Pb2Br7,"(4AMP)(MA)Pb2Br7, 4-(methanaminium)piperindinium methanaminium septabromo diplumbate(II)","C6N2H16, CH6N","Pb2Br7, Lead bromide",4-(methanaminium)piperindinium methanaminium lead bromide,2,bulk polycrystalline,,,,,,,,,,,,
10.1021/jacs.0c01625,4-(aminomethyl)piperindinium methylammonium lead bromide,(C6N2H16)(CH3NH3)Pb2Br7,"(4AMP)(MA)Pb2Br7, 4-(methanaminium)piperindinium methanaminium septabromo diplumbate(II)","C6N2H16, CH6N","Pb2Br7, Lead bromide",4-(methanaminium)piperindinium methanaminium lead bromide,2,bulk polycrystalline,,,,,,,,,,,,
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic  acid (HI, 57  wt.  %  in  H2O, distilled, stabilized,   99.95%), hypophosphorous  acid  solution (H3PO2, 50  wt.  %  in  H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Single-crystal X-ray diffraction,"A Bruker Molly or Duo instrument with MoKα IμS microfocus source (λ = 0.71073 Å) was used to perform the XRD. Data was collected, integrated, and corrected for absorption with the APEX3 software."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Single-crystal X-ray diffraction,"A Bruker Molly or Duo instrument with MoKα IμS microfocus source (λ = 0.71073 Å) was used to perform the XRD. Data was collected, integrated, and corrected for absorption with the APEX3 software."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Single-crystal X-ray diffraction,"A Bruker Molly or Duo instrument with MoKα IμS microfocus source (λ = 0.71073 Å) was used to perform the XRD. Data was collected, integrated, and corrected for absorption with the APEX3 software."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Photoluminescence,QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere. The PLQE was found by computing the ration of emitted photons to absorbed photons.
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,film,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), octylenediammonium diodide (DAO-I2), DMF",colorless 60 nm thick film,0.25 M solution of the precursor salts (1:1 molar ratio) in DMF was prepared by heating at 70 degrees C for 15 minutes. The solution was spin-coated on substrate at 4000 rpm for 30 s and annealed at 100 degrees C for 10 min in a glove box.,Photoluminescence,QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere. The PLQE was found by computing the ration of emitted photons to absorbed photons.
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",UV-vis absorption (diffused reflectance),"A Shimadzu UV-3600 PC double-beam/double monochromator spectrophotometer was used to collect the data. The device was operated between 200 and 2500 nm. The non-absorbing reflectance reference was BaSO4. To find the estimated band gap of the material, the reflectance was converted to absorbance via the Kubelka-Munk equation."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,film,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), octylenediammonium diodide (DAO-I2), DMF",colorless 60 nm thick film,0.25 M solution of the precursor salts (1:1 molar ratio) in DMF was prepared by heating at 70 degrees C for 15 minutes. The solution was spin-coated on substrate at 4000 rpm for 30 s and annealed at 100 degrees C for 10 min in a glove box.,UV-vis absorption (diffused reflectance),"A Shimadzu UV-3600 PC double-beam/double monochromator spectrophotometer was used to collect the data. The device was operated between 200 and 2500 nm. The non-absorbing reflectance reference was BaSO4. To find the estimated band gap of the material, the reflectance was converted to absorbance via the Kubelka-Munk equation."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",TGA measurement,A Netzsch Simultaneous Thermal Analysis (STA) system was used with around 15 mg of the sample. The sample was heated to 750ºC with a heating rate of 8ºC/min.
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",PL measurement,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,film,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), octylenediammonium diodide (DAO-I2), DMF",colorless 60 nm thick film,0.25 M solution of the precursor salts (1:1 molar ratio) in DMF was prepared by heating at 70 degrees C for 15 minutes. The solution was spin-coated on substrate at 4000 rpm for 30 s and annealed at 100 degrees C for 10 min in a glove box.,PL measurement,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Photoluminescence,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output. The temperature-dependent PL measurements were performed by using a 405-nm diode laser to excite the samples, and QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Photoluminescence,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output. The temperature-dependent PL measurements were performed by using a 405-nm diode laser to excite the samples, and QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Photoluminescence,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output. The temperature-dependent PL measurements were performed by using a 405-nm diode laser to excite the samples, and QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",Photoluminescence excitation,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output. The temperature-dependent PL measurements were performed by using a 405-nm diode laser to excite the samples, and QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,film,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), octylenediammonium diodide (DAO-I2), DMF",colorless 60 nm thick film,0.25 M solution of the precursor salts (1:1 molar ratio) in DMF was prepared by heating at 70 degrees C for 15 minutes. The solution was spin-coated on substrate at 4000 rpm for 30 s and annealed at 100 degrees C for 10 min in a glove box.,PL measurement,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer (600 g/mm diffraction grating) was used, along with a laser of 473 nm at a 0.1%-0.01% of max power output. The temperature-dependent PL measurements were performed by using a 405-nm diode laser to excite the samples, and QE was found by using a Horiba Jobin-Yvon Nanolog spectrofluorometer and an integrating sphere."
10.1021/jacs.0c03004,"1,8-octyldiammonium tin iodide",(DAO)Sn2I6,"(DAO)Sn2I6, 1,8-octyldiaminium hexaiodo distannate(II)",C8N2H24,"Sn2I6, Tin iodide","1,8-octyldiaminium tin iodide",1,single crystal,,,,,,,,"Tin(II) chloride dihydrate (SnCl2 x 2H2O), hydriodic acid (HI, 57 wt. % in H2O, distilled, stabilized, 99.95%), hypophosphorous acid solution (H3PO2, 50 wt. % in H2O), 1,8-diaminooctane (DAO)","large, yellow, rectangular crystals","First, SnCl2 x 2H2O (450 mg, 2 mmol) was added to a 57% w/w aqueous HI solution (5 mL) and a 50% aqueous H3PO2 solution (8 mL). After constant magnetic stirring at a boiling temperature, 1,8-diaminooctane (DAO) (72 mg, 0.5 mmol) was dissolved, after which the stirring ceased, the solution cooled, and crystals formed after 10 minutes.",UV-vis absorption (diffused reflectance),"A Shimadzu UV-3600 PC double-beam/double monochromator spectrophotometer was used to collect the data. The device was operated between 200 and 2500 nm. The non-absorbing reflectance reference was BaSO4. To find the estimated band gap of the material, the reflectance was converted to absorbance via the Kubelka-Munk equation."
10.1021/jacs.0c03860,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,"(BA)2(MA)Pb2I7, bis(butylaminium) methanaminium septaiodo diplumbate(II)","C4NH12, CNH6","Pb2I7, Lead iodide",bis(butylaminium) methanaminium lead iodide,2,unknown,VASP,DFT,PBE+SOC,4x2x2 k-grid (primitive cells) and 4x1x1 for inorganic 2D model compounds,,PAW,,,,,,
10.1021/jacs.0c03860,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,"(BA)2(MA)Pb2I7, bis(butylaminium) methanaminium septaiodo diplumbate(II)","C4NH12, CNH6","Pb2I7, Lead iodide",bis(butylaminium) methanaminium lead iodide,2,unknown,VASP,DFT,HSE+SOC,4x2x2 k-grid (primitive cells) and 4x1x1 for inorganic 2D model compounds,,PAW,,,,,,
10.1021/jacs.0c03860,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,"(BA)2(MA)Pb2I7, bis(butylaminium) methanaminium septaiodo diplumbate(II)","C4NH12, CNH6","Pb2I7, Lead iodide",bis(butylaminium) methanaminium lead iodide,2,bulk polycrystalline,,,,,,,,"PbO (99.9%), methylammonium chloride, hydroiodic acid (HI, 57 wt % in H2O, distilled, stabilized, 99.95%), butylamine, hypophosphorous acid solution (H3PO2, 50 wt % in H2O)",cherry red rectangular-shaped plates,"First, PbO powder (2232 mg, 10 mmol) was added to a mixture of 57% w/w aqueous HI solution (10.0 mL, 76 mmol) and 50% aqueous H3PO2 (1.7 mL, 15.5 mmol). The solution was heated to boiling and stirred, such that the PbO powder dissolved within 5 minutes. Solid CH3NH3Cl (338 mg, 5 mmol) was added, which caused a black powder to precipitate. The solution was rapidly mixed to redissolve the black powder precipitate. n-CH3(CH2)3NH2 (694 μL, 7 mmol) was neutralized with HI 57% w/w (5 mL, 38 mmol) in an ice bath. This solution was added to the initial solution, causing a black precipitate that soon redissolved under more stirring. The stirring ceased and the solution cooled to room temperature over ~2 hours.",UV-vis absorption,A Shimadzu UV-3600 UV-vis NIR spectrometer was used. BaSO4 was used as a reference of 100% reflectance for all measurements.
10.1021/jacs.0c03860,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,"(BA)2(MA)Pb2I7, bis(butylaminium) methanaminium septaiodo diplumbate(II)","C4NH12, CNH6","Pb2I7, Lead iodide",bis(butylaminium) methanaminium lead iodide,2,bulk polycrystalline,,,,,,,,"PbO (99.9%), methylammonium chloride, hydroiodic acid (HI, 57 wt % in H2O, distilled, stabilized, 99.95%), butylamine, hypophosphorous acid solution (H3PO2, 50 wt % in H2O)",cherry red rectangular-shaped plates,"First, PbO powder (2232 mg, 10 mmol) was added to a mixture of 57% w/w aqueous HI solution (10.0 mL, 76 mmol) and 50% aqueous H3PO2 (1.7 mL, 15.5 mmol). The solution was heated to boiling and stirred, such that the PbO powder dissolved within 5 minutes. Solid CH3NH3Cl (338 mg, 5 mmol) was added, which caused a black powder to precipitate. The solution was rapidly mixed to redissolve the black powder precipitate. n-CH3(CH2)3NH2 (694 μL, 7 mmol) was neutralized with HI 57% w/w (5 mL, 38 mmol) in an ice bath. This solution was added to the initial solution, causing a black precipitate that soon redissolved under more stirring. The stirring ceased and the solution cooled to room temperature over ~2 hours.",UV-vis absorption,A Shimadzu UV-3600 UV-vis NIR spectrometer was used. BaSO4 was used as a reference of 100% reflectance for all measurements.
10.1021/jacs.0c03860,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,"(BA)2(MA)Pb2I7, bis(butylaminium) methanaminium septaiodo diplumbate(II)","C4NH12, CNH6","Pb2I7, Lead iodide",bis(butylaminium) methanaminium lead iodide,2,bulk polycrystalline,,,,,,,,"PbO (99.9%), methylammonium chloride, hydroiodic acid (HI, 57 wt % in H2O, distilled, stabilized, 99.95%), butylamine, hypophosphorous acid solution (H3PO2, 50 wt % in H2O)",cherry red rectangular-shaped plates,"First, PbO powder (2232 mg, 10 mmol) was added to a mixture of 57% w/w aqueous HI solution (10.0 mL, 76 mmol) and 50% aqueous H3PO2 (1.7 mL, 15.5 mmol). The solution was heated to boiling and stirred, such that the PbO powder dissolved within 5 minutes. Solid CH3NH3Cl (338 mg, 5 mmol) was added, which caused a black powder to precipitate. The solution was rapidly mixed to redissolve the black powder precipitate. n-CH3(CH2)3NH2 (694 μL, 7 mmol) was neutralized with HI 57% w/w (5 mL, 38 mmol) in an ice bath. This solution was added to the initial solution, causing a black precipitate that soon redissolved under more stirring. The stirring ceased and the solution cooled to room temperature over ~2 hours.",Photoluminescence microscopy,A Horiba LabRAM HR Evolution confocal Raman microscope was used with a 473 nm laser to excite samples at 50x magnification.
10.1021/jacs.0c03860,Bis(butylammonium) methylammonium lead iodide,(BA)2(MA)Pb2I7,"(BA)2(MA)Pb2I7, bis(butylaminium) methanaminium septaiodo diplumbate(II)","C4NH12, CNH6","Pb2I7, Lead iodide",bis(butylaminium) methanaminium lead iodide,2,unknown,,,,,,,,"PbO, HI, H3PO2, CH3NH3Cl, n-CH3(CH2)3NH2",cherry red rectangular-shaped plates,"First, PbO powder (2232 mg, 10 mmol) was added to a mixture of 57% w/w aqueous HI solution (10.0 mL, 76 mmol) and 50% aqueous H3PO2 (1.7 mL, 15.5 mmol). The solution was heated to boiling and stirred, such that the PbO powder dissolved within 5 minutes. Solid CH3NH3Cl (338 mg, 5 mmol) was added, which caused a black powder to precipitate. The solution was rapidly mixed to redissolve the black powder precipitate. n-CH3(CH2)3NH2 (694 μL, 7 mmol) was neutralized with HI 57% w/w (5 mL, 38 mmol) in an ice bath. This solution was added to the initial solution, causing a black precipitate that soon redissolved under more stirring. The stirring ceased and the solution cooled to room temperature over ~2 hours.",,
10.1021/jacs.0c03860,Bis(butylammonium) formamidinium lead iodide,(C4H9NH3)2[CH(NH2)2PbI3]PbI4,"(BA)2[FAPbI3]PbI4, (BA)2(FA)Pb2I7, bis(butane-1-aminium) diaminomethanide tetraiodoplumbate(II)","C4H12N, CH5N2",Lead iodide,bis(butane-1-aminium) diaminomethanide lead iodide,2,powder,,,,,,,,"PbO, FA acetate, HI, BA, H3PO2",red plate-shaped crystals,"First, PbO (223 mg, 1 mmol) and FA acetate (52.1 mg, 0.5 mmol) were added to 1.5 mL of concentrated HI solution. These substances were dissolved under constant stirring and heating. Then, BA (89.1 μL, 0.9 mmol) was added to 0.25 mL of concentrated aqueous H3PO2 in a separate vial. This solution was stirred and was soon added to the initial solution. The temperature was lowered to 125º C until crystals began to form. The temperature was lowered again to 80ºC, the hot plate was turned off after 60 minutes, and after 30 minutes thereafter, the crystals were collected.",Powder X-ray diffraction,"A Rigaku Miniflex600 powder X-ray diffractometer (Cu Kα graphite, λ = 1.5406 Å) was used. Operating settings included 40 kV/15 mA with Kβ foil filter."
10.1021/jacs.0c03860,Bis(butylammonium) formamidinium lead iodide,(C4H9NH3)2[CH(NH2)2PbI3]PbI4,"(BA)2[FAPbI3]PbI4, (BA)2(FA)Pb2I7, bis(butane-1-aminium) diaminomethanide tetraiodoplumbate(II)","C4H12N, CH5N2",Lead iodide,bis(butane-1-aminium) diaminomethanide lead iodide,2,powder,,,,,,,,"PbO, FA acetate, HI, BA, H3PO2",red plate-shaped crystals,"First, PbO (223 mg, 1 mmol) and FA acetate (52.1 mg, 0.5 mmol) were added to 1.5 mL of concentrated HI solution. These substances were dissolved under constant stirring and heating. Then, BA (89.1 μL, 0.9 mmol) was added to 0.25 mL of concentrated aqueous H3PO2 in a separate vial. This solution was stirred and was soon added to the initial solution. The temperature was lowered to 125º C until crystals began to form. The temperature was lowered again to 80ºC, the hot plate was turned off after 60 minutes, and after 30 minutes thereafter, the crystals were collected.",Powder X-ray diffraction,"A Rigaku Miniflex600 powder X-ray diffractometer (Cu Kα graphite, λ = 1.5406 Å) was used. Operating settings included 40 kV/15 mA with Kβ foil filter."
10.1021/jacs.0c03860,Bis(butylammonium) formamidinium lead iodide,(C4H9NH3)2[CH(NH2)2PbI3]PbI4,"(BA)2[FAPbI3]PbI4, (BA)2(FA)Pb2I7, bis(butane-1-aminium) diaminomethanide tetraiodoplumbate(II)","C4H12N, CH5N2",Lead iodide,bis(butane-1-aminium) diaminomethanide lead iodide,2,unknown,VASP,DFT,PBE+SOC,4x2x2 k-grid (primitive cells) and 4x1x1 for inorganic 2D model compounds,,PAW,,,,,,
